object,field,usage,jsType
accounts,channelId,identifier,string
accounts,accountGroupId,identifier,string
accounts,accountName,identifier,string
accounts,accountKind,dimension,string
accounts,platformType,dimension,string
accounts,channelType,dimension,string
accounts,displayNamePolicy,dimension,string
accounts,displayName,identifier,string
accounts,isBaseline,dimension,boolean
accounts,source,identifier,string
accounts,sourceType,dimension,string
accounts,sourceBatchId,identifier,string
accounts,dataVersion,identifier,string
accounts,generatedAt,dimension,string
accounts,timeWindow,dimension,string
accounts,upsertKey,identifier,object
accounts,upsertKey.fields,dimension,array
accounts,upsertKey.hash,dimension,string
accounts,hasReport,dimension,boolean
accounts,hasBenchmarkTags,dimension,boolean
account_benchmark_tags,channelId,identifier,string
account_benchmark_tags,accountName,identifier,string
account_benchmark_tags,dimension,dimension,string
account_benchmark_tags,dimensionTaxonomy,dimension,string
account_benchmark_tags,optionLabel,dimension,string
account_benchmark_tags,sharePercent,calculation_metric,number
account_benchmark_tags,shareRatio,calculation_metric,number
account_benchmark_tags,top1Flag,dimension,string
account_benchmark_tags,decisionMethod,dimension,string
account_benchmark_tags,businessInterpretation,display_metric,string
account_benchmark_tags,mappedTagId,identifier,null
account_benchmark_tags,mappingConfidence,calculation_metric,number
account_benchmark_tags,sourceBatchId,identifier,string
account_benchmark_tags,dataVersion,identifier,string
account_benchmark_tags,generatedAt,dimension,string
account_benchmark_tags,timeWindow,dimension,string
account_benchmark_tags,sampleSize,calculation_metric,null
account_benchmark_tags,upsertKey,identifier,object
account_benchmark_tags,upsertKey.fields,dimension,array
account_benchmark_tags,upsertKey.hash,dimension,string
account_benchmark_tags,orderIndex,dimension,number
account_reports,reportId,identifier,string
account_reports,channelId,identifier,string
account_reports,accountName,identifier,string
account_reports,accountKind,dimension,string
account_reports,channelType,dimension,string
account_reports,reportKind,identifier,string
account_reports,comparePeriod,dimension,string
account_reports,plainTextExcerpt,display_metric,string
account_reports,plainTextCharCount,display_metric,number
account_reports,rawHtmlBytes,calculation_metric,number
account_reports,rawHtmlHash,identifier,string
account_reports,rawHtmlAvailable,dimension,boolean
account_reports,source,identifier,string
account_reports,sourceType,dimension,string
account_reports,sourceBatchId,identifier,string
account_reports,dataVersion,identifier,string
account_reports,generatedAt,dimension,string
account_reports,timeWindow,dimension,string
account_reports,upsertKey,identifier,object
account_reports,upsertKey.fields,dimension,array
account_reports,upsertKey.hash,dimension,string
products,skuId,identifier,string
products,productName,identifier,string
products,productAttributes,display_metric,object
products,productAttributes.季度,display_metric,string
products,productAttributes.款号,display_metric,string
products,productAttributes.商品名称,display_metric,string
products,productAttributes.货品属性,display_metric,string
products,productAttributes.性别修正,display_metric,string
products,productAttributes.中类,display_metric,string
products,productAttributes.小类,display_metric,string
products,productAttributes.全域款,display_metric,string
products,productAttributes.延续款,display_metric,string
products,productAttributes.场景,display_metric,string
products,productAttributes.年龄段,display_metric,string
products,productAttributes.主题,display_metric,number
products,productAttributes.推广群组,display_metric,number
products,productAttributes.商品群,display_metric,string
products,productAttributes.商品定位,display_metric,number
products,productAttributes.故事线,display_metric,number
