object,businessKey,sourceField,sourceLabel,sharePercent,reason
products,109326100005,地域分布_提取结果(占比),广东,9.54,not_in_taxonomy
products,109326100005,地域分布_提取结果(占比),江苏,8.36,not_in_taxonomy
products,109326100005,地域分布_提取结果(占比),浙江,7.23,not_in_taxonomy
products,109326100005,八大消费群体_提取结果(占比),精致妈妈,28.25,not_in_taxonomy
products,109326100005,八大消费群体_提取结果(占比),新锐白领,23.17,not_in_taxonomy
products,109326100005,八大消费群体_提取结果(占比),小镇青年,21.02,not_in_taxonomy
products,109326100005,手机品牌_提取结果(占比),苹果,44.86,not_in_taxonomy
products,109326100005,手机品牌_提取结果(占比),华为,26.15,not_in_taxonomy
products,109326100005,手机品牌_提取结果(占比),OPPO,13.53,not_in_taxonomy
products,109326100005,预测人生阶段_提取结果(占比),家有儿女,68.37,not_in_taxonomy
products,109326100005,预测职业_提取结果(占比),基础服务业,40.74,not_in_taxonomy
products,109326100005,预测职业_提取结果(占比),在校大学生,33.33,not_in_taxonomy
products,109326100005,预测职业_提取结果(占比),职场白领,18.52,not_in_taxonomy
products,109326100005,手机价格_提取结果(占比),5000~5999,30.13,not_in_taxonomy
products,109326100005,手机价格_提取结果(占比),2000~2999,27.96,not_in_taxonomy
products,109326100005,手机价格_提取结果(占比),3000~3999,17.74,not_in_taxonomy
products,109326100005,抖音活跃用户_提取结果(占比),高活跃_月活,72.99,not_in_taxonomy
products,109326100005,头条活跃用户_提取结果(占比),低活跃_月活,90.91,not_in_taxonomy
products,109326100005,西瓜活跃用户_提取结果(占比),低活跃_月活,100,not_in_taxonomy
products,109326100005,火山活跃用户_提取结果(占比),高活跃_月活,0,not_in_taxonomy
products,109326100005,头条用户阅读兴趣分类_提取结果(占比),娱乐,60.4,not_in_taxonomy
products,109326100005,头条用户阅读兴趣分类_提取结果(占比),社会,51.76,not_in_taxonomy
products,109326100005,头条用户阅读兴趣分类_提取结果(占比),健康,39.02,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类_提取结果(占比),拍摄,98.96,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类_提取结果(占比),演绎,98.41,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类_提取结果(占比),生活,93.34,not_in_taxonomy
products,109326100005,西瓜视频观看兴趣分类_提取结果(占比),影视,92.86,not_in_taxonomy
products,109326100005,西瓜视频观看兴趣分类_提取结果(占比),搞笑,64.29,not_in_taxonomy
products,109326100005,西瓜视频观看兴趣分类_提取结果(占比),美食,57.14,not_in_taxonomy
products,109326100005,美妆行业特色人群_提取结果(占比),美潮文艺咖,26.9,not_in_taxonomy
products,109326100005,美妆行业特色人群_提取结果(占比),悦己质享派,19.62,not_in_taxonomy
products,109326100005,美妆行业特色人群_提取结果(占比),理性刚需派,14.93,not_in_taxonomy
products,109326100005,电商品类成交偏好_提取结果(占比),女装,63.96,not_in_taxonomy
products,109326100005,电商品类成交偏好_提取结果(占比),内衣裤袜,56.94,not_in_taxonomy
products,109326100005,电商品类成交偏好_提取结果(占比),个人护理,45.91,not_in_taxonomy
products,109326100005,电商品牌成交偏好_提取结果(占比),三資堂,12.37,not_in_taxonomy
products,109326100005,电商品牌成交偏好_提取结果(占比),草本初色,10.01,not_in_taxonomy
products,109326100005,电商品牌成交偏好_提取结果(占比),Three Squirrels三只松鼠,7.66,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),(45,,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),+∞),76.01,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),(40,,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),45],3.14,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),(20,,not_in_taxonomy
products,109326100005,电商消费频次_提取结果(占比),25],3.08,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),(2000,,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),+∞),82.67,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),(1000,,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),1500],4.75,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),(500,,not_in_taxonomy
products,109326100005,电商消费金额_提取结果(占比),1000],4.51,not_in_taxonomy
products,109326100005,触点互动偏好_提取结果(占比),通投,99.52,not_in_taxonomy
products,109326100005,触点互动偏好_提取结果(占比),抖音,99.11,not_in_taxonomy
products,109326100005,触点互动偏好_提取结果(占比),抖音-星图视频推广,81.06,not_in_taxonomy
products,109326100005,城市_提取结果(占比),上海,3.4,not_in_taxonomy
products,109326100005,城市_提取结果(占比),北京,2.98,not_in_taxonomy
products,109326100005,城市_提取结果(占比),深圳,2.41,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类v2_提取结果(占比),时尚,23.62,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类v2_提取结果(占比),美食,16.33,not_in_taxonomy
products,109326100005,抖音视频观看兴趣分类v2_提取结果(占比),文化教育,8.58,not_in_taxonomy
products,109326100003,地域分布_提取结果(占比),广东,8.92,not_in_taxonomy
products,109326100003,地域分布_提取结果(占比),山东,8.27,not_in_taxonomy
products,109326100003,地域分布_提取结果(占比),河南,7.95,not_in_taxonomy
products,109326100003,八大消费群体_提取结果(占比),精致妈妈,31.56,not_in_taxonomy
products,109326100003,八大消费群体_提取结果(占比),小镇青年,23.97,not_in_taxonomy
products,109326100003,八大消费群体_提取结果(占比),新锐白领,16.05,not_in_taxonomy
products,109326100003,手机品牌_提取结果(占比),苹果,36.21,not_in_taxonomy
products,109326100003,手机品牌_提取结果(占比),华为,35.22,not_in_taxonomy
products,109326100003,手机品牌_提取结果(占比),OPPO,14.95,not_in_taxonomy
products,109326100003,预测人生阶段_提取结果(占比),家有儿女,76.4,not_in_taxonomy
products,109326100003,预测职业_提取结果(占比),在校大学生,50,not_in_taxonomy
products,109326100003,预测职业_提取结果(占比),职场白领,50,not_in_taxonomy
products,109326100003,预测职业_提取结果(占比),基础服务业,50,not_in_taxonomy
products,109326100003,手机价格_提取结果(占比),2000~2999,30.33,not_in_taxonomy
products,109326100003,手机价格_提取结果(占比),5000~5999,28.44,not_in_taxonomy
products,109326100003,手机价格_提取结果(占比),3000~3999,18.44,not_in_taxonomy
products,109326100003,抖音活跃用户_提取结果(占比),高活跃_月活,71.19,not_in_taxonomy
products,109326100003,头条活跃用户_提取结果(占比),低活跃_月活,100,not_in_taxonomy
products,109326100003,西瓜活跃用户_提取结果(占比),高活跃_月活,0,not_in_taxonomy
products,109326100003,火山活跃用户_提取结果(占比),高活跃_月活,0,not_in_taxonomy
products,109326100003,头条用户阅读兴趣分类_提取结果(占比),娱乐,60.05,not_in_taxonomy
products,109326100003,头条用户阅读兴趣分类_提取结果(占比),社会,57.07,not_in_taxonomy
products,109326100003,头条用户阅读兴趣分类_提取结果(占比),健康,40.49,not_in_taxonomy
products,109326100003,抖音视频观看兴趣分类_提取结果(占比),拍摄,99.17,not_in_taxonomy
products,109326100003,抖音视频观看兴趣分类_提取结果(占比),演绎,98.18,not_in_taxonomy
products,109326100003,抖音视频观看兴趣分类_提取结果(占比),生活,95.02,not_in_taxonomy
products,109326100003,西瓜视频观看兴趣分类_提取结果(占比),影视,85.71,not_in_taxonomy
products,109326100003,西瓜视频观看兴趣分类_提取结果(占比),亲子,57.14,not_in_taxonomy
products,109326100003,西瓜视频观看兴趣分类_提取结果(占比),少儿,42.86,not_in_taxonomy
products,109326100003,美妆行业特色人群_提取结果(占比),美潮文艺咖,23.52,not_in_taxonomy
